Title,Seller Level,Average Rating,Number of Reviewers,Price (USD)
I will data entry typing data entry operator copy paste ms office to PDF converter,,None,0,5.180952380952381
I will promote your business through add posting,,None,0,10.361904761904762
I will help you in building optimized etl and data transformation logics,,None,0,15.538095238095238
"I will math, calculus,, numerical methods, differential equation",,None,0,10.361904761904762
I will do android or ios app scraping and crawling,,None,0,25.895238095238096
"I will perform data cleaning, preprocessing with  python, excel",,None,0,10.361904761904762
I will automate excel to work with any device and any operating system,,None,0,67.32857142857142
I will consult on integration project in ecommerce,,None,0,409.12857142857143
I will analyze or process your data as a data scientist,,None,0,310.73333333333335
"I will do a python script to parse, extract, convert data",,None,0,77.68571428571428
"I will automate or analyse using python, AWS, sql, docker etc",,None,0,103.58095238095238
I will build you an etl tool to improve your data pipeline,,None,0,207.15714285714284
"I will do excel formula, automation, programming to vanish your worries",,None,0,5.180952380952381
I will search international paid journal that you need,,None,0,5.180952380952381
I will create any data etl pipeline or ingestion or modeling,,None,0,20.71904761904762
I will write macros that integrate data across microsoft office,,None,0,103.58095238095238
I will work on any data related tasks,,None,0,31.076190476190476
I will do advance statistical analysis,,4.9,5,5.180952380952381
I will integrate your data with talend via etl process,,5.0,2,51.79047619047619
I will clean big data using python pandas and numpy,Level 2 Seller,None,0,5.180952380952381
"I will eventbrite promotion, flyers, webinars, promotion",,None,0,10.361904761904762
I will create an integration between different systems,,None,0,207.15714285714284
I will do reverse engineering for android or ios apk,,None,0,895.9380952380952
"I will code pyspark , pandas , spark scala etl jobs for you",,None,0,25.895238095238096
I will extract data from any source for you,,None,0,20.71904761904762
I will create any type of AWS services,,5.0,6,10.361904761904762
I will review your resume and rewrite it to make it look professional,,None,0,5.180952380952381
I will do etl development and transformations using odi 12c,,None,0,5.180952380952381
I will do instagram promotion for instagram growth,,None,0,15.538095238095238
I will build a full microsoft access application for you,,None,0,25.895238095238096
I will unlock documents from scribd and give you the file,,None,0,5.180952380952381
I will provide you with the data desired,,None,0,51.79047619047619
I will create an end to end data pipeline in AWS,,None,0,103.58095238095238
I will write clean and efficient sql queries and help figure out data solutions,,None,0,10.361904761904762
I will do data scraping for websites,Level 1 Seller,None,0,5.180952380952381
I will write python scripts for you,Level 1 Seller,None,0,20.71904761904762
"I will do python script, data extraction,json,txt,csv conversion,API,logs",,None,0,5.180952380952381
I will help you in etl through azure data factory databricks,,None,0,5.180952380952381
I will scrape data from medium website,Level 2 Seller,None,0,10.361904761904762
I will extract data from scanned PDF and images,,None,0,5.180952380952381
I will write a python script to extract data from XML or json,,None,0,41.43333333333333
"I will assist you in numerical methods, pdes, odes",,None,0,10.361904761904762
I will do quality python data science projects in jupyter notebooks,,None,0,20.71904761904762
I will do the material takeoff and cost estimation for all construction trades,,None,0,15.538095238095238
"I will help you to integrate,  undrestand and explore  your database",,None,0,15.538095238095238
I will write your gitlab ci cd pipeline,,None,0,41.43333333333333
"I will tableau, qlikview, oracle data integrator, snowflake, redshift, informatica etl",,None,0,414.3095238095238
"I will python work, dataprocessing, scripts, datatransformation, csv, api, etl",,None,0,15.538095238095238
I will transform data of all kinds,,None,0,103.58095238095238
"I will do web,yellow pages scraper and google map data scraping",,None,0,5.180952380952381
"I will perform data analysis using big data, hadoop, pyspark, scala",,5.0,4,31.076190476190476
I will do financial data scraping,Level 1 Seller,5.0,1,5.180952380952381
"I will code python reusable web scraper bot, data scraper",,5.0,2,31.076190476190476
I will generate and transform your data in 24hrs,,None,0,5.180952380952381
I will do data pipelines with airflow,,5.0,1,103.58095238095238
I will perform any data transformation from any data source,,None,0,20.71904761904762
"I will do hive, scala,  spark, sql etl big data  cloudera tasks",,None,0,15.538095238095238
I will develop jupyter notebook for python and data analysis,Level 2 Seller,5.0,4,15.538095238095238
I will provide civil engineering related data,,5.0,2,31.076190476190476
"I will write sql queries, design oracle, mysql, postgresql,informatica ,talend work",,None,0,20.71904761904762
"I will do, data analysis, machine learning in python, r, tableau, power bi, excel",Level 1 Seller,None,0,25.895238095238096
"I will web scraper, web scraping, data extraction, bots with python",Level 1 Seller,None,0,10.361904761904762
I will do data engineering pipeline using azure cloud platform,,None,0,10.361904761904762
I will do data transformation and integration with talend,,None,0,5.180952380952381
I will give solution of big data and data science task and machine learning,,None,0,51.79047619047619
"I will do web application using nodejs, expressjs, and mongo",,None,0,25.895238095238096
I will do big data engineering and data warehouse related work,,None,0,15.538095238095238
I will program in matlab or help to process data or signals,,None,0,5.180952380952381
I will clean your data and get it into an unified format using python,Level 1 Seller,None,0,25.895238095238096
"I will do wordpress, woocommerece data entry",,None,0,10.361904761904762
I will automate web tasks with python in 12hrs,,None,0,31.076190476190476
I will create your dataset database in sql server,,None,0,10.361904761904762
I will do construction estimation and preconstruction,,None,0,103.58095238095238
"I will help you with pyspark, databricks, adf",,None,0,36.25238095238095
"I will do data cleaning, data etl and visualization",,None,0,51.79047619047619
I will do professional technical writing on  data science machine learning artificial,,None,0,51.79047619047619
I will program in matlab or help to process data or signals,,None,0,5.180952380952381
"I will web scraping, data engineering, ml, ai",,None,0,51.79047619047619
I will connect API with spreadsheet,Level 1 Seller,None,0,25.895238095238096
"I will calculate earthwork quantities, cut fill volume, on autocad civil 3d",,None,0,10.361904761904762
I will do big data engineering and data warehouse related work,,None,0,15.538095238095238
"I will do sql queries, optimizing queries and python development",,None,0,10.361904761904762
I will automate any  processes with rpa bots,,5.0,1,5.180952380952381
I will clean your data and get it into an unified format using python,Level 1 Seller,None,0,25.895238095238096
"I will mine, scrape, extract, and clean data",,None,0,25.895238095238096
I will doing excel vba management application,,None,0,5.180952380952381
I will be your data engineer,,None,0,77.68571428571428
I will do mechanical engineering work,,None,0,103.58095238095238
"I will assist you in fleet management, maintenance and repairs",,None,0,5.180952380952381
I will create data warehouses and etl pipelines,,None,0,20.71904761904762
I will do data engineering in python,,None,0,51.79047619047619
"I will do data cleaning, data etl and visualization",,None,0,51.79047619047619
"I will do projects on manage big data, hadoop,spark, hive pyspark",,None,0,10.361904761904762
I will do construction estimation and preconstruction,,None,0,103.58095238095238
I will create your dataset database in sql server,,None,0,10.361904761904762
I will do data manipulation using pandas python,Level 1 Seller,4.8,6,25.895238095238096
"I will do data analysis projects using power bi, sql, python, excel",,5.0,3,10.361904761904762
"I will use power automate, or ssis to automate workflows and alerts",,None,0,51.79047619047619
"I will do data analysis,visualization,ml using rstudio",Level 2 Seller,5.0,6,5.180952380952381
I will be your race engineer,,None,0,51.79047619047619
"I will do big data analysis in python,pyspark,hive, sql,mapreduce etc",,5.0,21,15.538095238095238
I will automate web tasks with python in 12hrs,,None,0,31.076190476190476
"I will do machine learning, spss, stata , r, and python",,None,0,10.361904761904762
I will assist you in engineering economics and financial analysis,,None,0,10.361904761904762
I will do your electrical power system analysis using etap,Level 1 Seller,None,0,5.180952380952381
"I will do wordpress, woocommerece data entry",,None,0,10.361904761904762
I will create data warehouses and etl pipelines,Level 2 Seller,5.0,4,20.71904761904762
I will do data engineering pipeline using azure cloud platform,,None,0,10.361904761904762
I will do data transformation and integration with talend,,None,0,5.180952380952381
I will give solution of big data and data science task and machine learning,,None,0,51.79047619047619
"I will help you with pyspark, databricks, adf",,None,0,36.25238095238095
"I will web scraper, web scraping, data extraction, bots with python",Level 1 Seller,None,0,10.361904761904762
I will experienced in computing app i will creates,,None,0,46.60952380952381
I will scrape data and clean the datasets,,None,0,10.361904761904762
"I will do data etl with pig, hive, mapreduce and spark",,None,0,31.076190476190476
"I will do web scraping, data mining, data extraction from any website or API",,5.0,2,5.180952380952381
I will etl with ssis and azure,,None,0,103.58095238095238
I will develop system administration in your organization,,5.0,1,5.180952380952381
"I will develop data engineering, devops, mlops applications for you",,5.0,8,5.180952380952381
"I will data mining, waka, classification, decision tree",,None,0,5.180952380952381
"I will do sap bw hana, abap, sap analytics cloud implementation",,None,0,103.58095238095238
I will gonna help you build your data pipelines,,None,0,103.58095238095238
"I will do any etl task in spark, scala, pyspark, databricks",,5.0,1,10.361904761904762
I will gonna help you build your data pipelines,,None,0,103.58095238095238
"I will do any etl task in spark, scala, pyspark, databricks",,5.0,1,10.361904761904762
"I will provide the best service in word, excel, formula, automation",Level 1 Seller,5.0,4,5.180952380952381
I will etl with ssis and azure,,None,0,103.58095238095238
I will create a dashboard in r shiny html,,None,0,134.65238095238095
I will prepare the data pipeline,Level 2 Seller,None,0,5.180952380952381
I will transcribe your text into audio video with voice over,,None,0,5.180952380952381
"I will do data analysis, entry and python automation",,None,0,51.79047619047619
"I will do etl, data warehousing, sql, python, ml",,None,0,51.79047619047619
I will write python programs for data scrapping and automation,,None,0,5.180952380952381
I will do elasticsearch sizing and design,Level 1 Seller,None,0,41.43333333333333
"I will do exploratory data analysis, feature engineering using pandas,numpy,matplotlib",,None,0,5.180952380952381
I will design and build dbt models for data transformation,,None,0,5.180952380952381
"I will do machine learning, data science, data analysis,visualization project in python",,None,0,5.180952380952381
"I will write sql queries, design database models and erds",,None,0,15.538095238095238
I will be your azure cloud administrator,,None,0,51.79047619047619
"I will do big data and statistical data analysis using spark, datascience, python",,None,0,20.71904761904762
I will set up an elasticsearch cluster and transfer your data,,None,0,10.361904761904762
I will create a custom tableau web data connector,,None,0,103.58095238095238
I will do big data projects,,None,0,10.361904761904762
"I will give virtual assistant services for data entry, web research",,None,0,10.361904761904762
I will do any machine learning task,,None,0,10.361904761904762
I will engineer your data based on your needs,,None,0,51.79047619047619
I will be your data engineer,,None,0,10.361904761904762
"I will publish crypto press release, coins press release, blockchain press release",,None,0,15.538095238095238
I will code aws lambda functions on amazon aws,,5.0,3,5.180952380952381
I will do data analysis machine learning deep learning computer vision projects python,,None,0,82.86190476190477
I will use vba and others to automate processes,,None,0,10.361904761904762
"I will assist you in algebra, calculus, business math and statistics",,None,0,5.180952380952381
"I will do web scraping, data mining, and data collection for any websites",Level 1 Seller,None,0,10.361904761904762
I will do data scrapping by creating an automated bot using python,,None,0,31.076190476190476
I will provide ssis optimized solutions,,None,0,5.180952380952381
"I will do data extraction, csv, json, xml, xls using python script",Level 1 Seller,None,0,51.79047619047619
I will assist you in data analysis tasks,,None,0,72.5047619047619
I will create an alteryx workflow for you,,None,0,51.79047619047619
I will configure and install hadoop and big data services,,4.7,1,15.538095238095238
I will convert images into text every format,,None,0,5.180952380952381
I will setup your data warehouse in big query setup,,None,0,72.5047619047619
I will do data entry and autocad jobs,,None,0,5.180952380952381
I will do data engineering for model building,Level 1 Seller,None,0,103.58095238095238
I will data preparation for analysis and visualization,,None,0,36.25238095238095
"I will perform data mining on data of your interest, giving them the format your prefer",,None,0,155.36666666666667
I will create a data engineering pipeline,,None,0,362.5190476190476
I will big data platform on premise,,None,0,207.15714285714284
"I will help you with pyspark, databricks, adf",,None,0,46.60952380952381
I will assist you with tasks related to autocad drafting and 2d floor plans,,None,0,10.361904761904762
I will perform data cleaning  for data analysis sql and sheets,,None,0,5.180952380952381
I will be your AWS data engineer,,None,0,5.180952380952381
I will microsft excel related work,,None,0,10.361904761904762
I will do design best pubg gaming  and disgin,,None,0,5.180952380952381
I will want to make profitable your google adword PPC campaigns,,None,0,56.97142857142857
I will automate websites or other processes using python selenium,,5.0,1,31.076190476190476
I will fix data in elasticsearch,Level 1 Seller,5.0,1,36.25238095238095
"I will do networking,cyber security, risk assessment and vulnerability assessment tasks",,None,0,5.180952380952381
I will do etl development processing,,None,0,10.361904761904762
"I will do web scraping, and web automation using python",Level 2 Seller,5.0,5,20.71904761904762
"I will do machine learning, data science and python projects",,5.0,2,10.361904761904762
I will build or modify your ssis packages,,None,0,31.076190476190476
"I will use python for data merge and automate data files, and analyze data",,None,0,10.361904761904762
"I will do sql query, database, data analysis, software design",,5.0,6,5.180952380952381
I will create azure data factory and synapse pipeline,,None,0,207.15714285714284
I will develop your apache flink pipelines and jobs,,None,0,51.79047619047619
"I will do data entry, web research, excel,lead generation, virtual assistant",Level 1 Seller,5.0,3,5.180952380952381
I will do data migrations to cloud platforms like google bigquery,,5.0,4,20.71904761904762
"I will resolve big data, spark, hadoop, kafka, hive problem for you",,4.9,8,51.79047619047619
I will script automations for collecting or processing data etl,,None,0,155.36666666666667
I will do data migration etl from source to bigquery,,5.0,1,10.361904761904762
I will do database etl warehouse sql nosql bi and dashboard reports,,5.0,4,5.180952380952381
"I will do data analytics, data migration, etl all related to data",,None,0,207.15714285714284
"I will implement nifi, hdfs, spark, grafana on kubernetes",,None,0,5.180952380952381
"I will do big data ,automation and build bots in python",,5.0,1,15.538095238095238
"I will web scrape, automate, and analyse data and web processes",,None,0,25.895238095238096
I will google sheets and drive API tasks,Level 1 Seller,5.0,4,51.79047619047619
I will provide solution for talend etl,,None,0,5.180952380952381
"I will automate your powerapp, powerbi or sql with python bots",,5.0,1,25.895238095238096
I will do artificial intelligence project for you,,5.0,3,51.79047619047619
I will do pyspark coding in databricks,,5.0,5,20.71904761904762
"I will do data extraction, conversion and parsing of xml,json,txt,csv,logs using python",,None,0,103.58095238095238
I will create your etl pipeline,,None,0,51.79047619047619
"I will do machine learning, data science, data analysis, data mining project in python",,5.0,1,10.361904761904762
I will scrape data for your project,,5.0,1,51.79047619047619
I will do data engineering tasks for you,Level 1 Seller,None,0,5.180952380952381
"I will provide services in autocad,revit,primavera,structure analysis",,None,0,5.180952380952381
I will help you to analyze and monitor azure data factory,,None,0,15.538095238095238
I will create automated scripts and build data pipelines for creating insightful report,,None,0,51.79047619047619
"I will help you in etl, databases, big data, spark, and python",,None,0,5.180952380952381
"I will do professional excel formula, dashboard,draphs automation with vba, macro",Level 1 Seller,None,0,10.361904761904762
"I will do python web scraping, and task automation",,None,0,10.361904761904762
I will build a solution in AWS with upto 10k gbp in free credits,,None,0,517.8857142857142
I will draft and plot in auto cad civil3d for roads and water works,,None,0,51.79047619047619
"I will do data analysis, data visualization, data scraping, create data framework",,None,0,10.361904761904762
I will do python projects for you,,5.0,2,5.180952380952381
I will do help in learning big data,,None,0,10.361904761904762
"I will data engineering coding on python, sql and gcp",,None,0,5.180952380952381
"I will gathering your data from web scraping,csv,xml, json and data base using python",,None,0,10.361904761904762
I will provide consulation and feedback on data management,,None,0,113.93809523809524
"I will edit and convert pdf to word or jpg, scanned pdf to word editable",,None,0,10.361904761904762
"I will data engineering coding on python, sql and gcp",,None,0,5.180952380952381
I will do help in learning big data,,None,0,10.361904761904762
I will provide consulation and feedback on data management,,None,0,113.93809523809524
I will help you with your project using scalable and maintainable solutions,,None,0,20.71904761904762
I will build a solution in AWS with upto 10k gbp in free credits,,None,0,517.8857142857142
I will create python script for data analysis or scraping,,None,0,10.361904761904762
"I will do bash, shell, python, numpy, pandas, opencv, scikit learn assignments projects",,5.0,1,10.361904761904762
I will do python projects for you,,5.0,2,5.180952380952381
"I will do data entry, copy paste, virtual assistant, data mining",,None,0,5.180952380952381
"I will setup etl pipelines , write pyspark and python scripts for data transformation",,None,0,124.29523809523809
I will design and develop your etl packages using ssis,,None,0,155.36666666666667
I will help building big data etl pipelines,,None,0,10.361904761904762
I will write pro quality  articles and blog content,,None,0,5.180952380952381
I will create a python script,,None,0,20.71904761904762
I will provide data integration and etl solutions to my clients,,None,0,10.361904761904762
I will help you to build a dataset of images about any topic,,None,0,5.180952380952381
"I will data entry, mining, analyzing and graphing",,None,0,5.180952380952381
I will prepare process and instrumentation diagrams,,None,0,10.361904761904762
I will make django web application and python scripts apis,,None,0,207.15714285714284
I will help you with pandas and sql,Level 1 Seller,None,0,10.361904761904762
I will crawling expert and building meaningful insights,,None,0,207.15714285714284
"I will do python, spark, pandas, numpy, beautifulsoup and matplotlib",,None,0,31.076190476190476
"I will help you write sql queries dbt, postgres, redshift",,None,0,10.361904761904762
I will create and manage a data warehouse,,None,0,20.71904761904762
I will do projects in data engineering,,None,0,15.538095238095238
"I will do data entry logo design ,copy paste,presentation, photo edit",,None,0,10.361904761904762
I will do data engineering as a virtual assistant,Level 1 Seller,5.0,1,103.58095238095238
"I will help with electrical, electronics engineering and matlab",,None,0,10.361904761904762
I will perform etl process on your postgressql data,Level 1 Seller,None,0,15.538095238095238
I will do web scraping using python and scrapy,,None,0,51.79047619047619
I will provide automatic excel reports,,None,0,5.180952380952381
I will enable you to take data driven decisions,,None,0,25.895238095238096
I will generate data files from your data like nft json service,Level 2 Seller,5.0,10,82.86190476190477
"I will create etl pipelines, databases, data warehousing on cloud",,None,0,517.8857142857142
"I will extract, transform and load on your data",Level 1 Seller,5.0,4,10.361904761904762
"I will etl process on your mysql, sqllite data",Level 1 Seller,5.0,4,10.361904761904762
I will help you with informatica etl development,,5.0,1,20.71904761904762
I will create and automate the azure data pipelines,,None,0,15.538095238095238
"I will provide big data solutions using hadoop, pyspark, hive etc",,5.0,1,15.538095238095238
I will enter data in best way 1,,None,0,10.361904761904762
"I will do research by means of spss, eview, amos and etc",,None,0,124.29523809523809
I will build and model data for your business use case in bigquery,Level 2 Seller,5.0,5,554.1380952380953
I will do big data analytics using apache spark,,5.0,3,31.076190476190476
"I will help with data engineering in gcp,azure postgres, snowflake",Level 2 Seller,4.8,8,491.9904761904762
I will help you  write and optimize queries in sql,,5.0,3,5.180952380952381
I will do data engineering using aws and python,,5.0,1,20.71904761904762
I will do data cleaning using python pandas,,None,0,5.180952380952381
I will help you with teradata developer activities,,5.0,2,20.71904761904762
I will provide you any data engineering service,Level 1 Seller,5.0,4,41.43333333333333
I will do snowflake database query writing,,None,0,5.180952380952381
"I will write sql for db2, mysql, hive, couch base",,None,0,5.180952380952381
I will be your professional  quantity surveyor,,None,0,15.538095238095238
"I will do categorization or classification of your image, text, video data",,5.0,2,10.361904761904762
I will make dashboard for iot,Level 1 Seller,5.0,6,5.180952380952381
I will do surveying problems and assignments,,5.0,1,10.361904761904762
I will totally change the way you think about data helping you with power query,,None,0,15.538095238095238
I will build data engineering pipelines,,5.0,2,51.79047619047619
"I will do data tasks include scala and spark and related , etl",,None,0,15.538095238095238
I will do web scrapping and help you get and process your data,,None,0,62.147619047619045
I will do web scraping for you,,None,0,5.180952380952381
I will do speech recognition system,,None,0,103.58095238095238
I will automate your any task in excel by using excel vba macros,Level 1 Seller,None,0,5.180952380952381
"I will work on the data extraction, transformation and loading using AWS, azure service",,None,0,10.361904761904762
I will do etl and data engineering jobs,,None,0,20.71904761904762
I will be your personal fba amazon virtual assistant amazon ppc,,None,0,5.180952380952381
I will be your tech partner and bigdata developer,,None,0,20.71904761904762
I will do linkedin resume business resume redesign analytics job hunting resume,,None,0,31.076190476190476
"I will do data entry work typing image,pdf into word, excel",,None,0,5.180952380952381
I will connect with sports data and find live data to integrate for whatever use,,None,0,31.076190476190476
I will do any work that you need related with data,,None,0,51.79047619047619
I will create pipeline in azure data factory and program in python,,None,0,31.076190476190476
I will do detailed cost estimation and quantity takeoff,,None,0,5.180952380952381
I will develop python programs to extract and process data from excel files,,None,0,77.68571428571428
I will set up serverside tag manger to improve your analytics,,None,0,1035.7666666666667
I will do a full analysis of your data,,None,0,10.361904761904762
I will do data entry typing work in excel spreadsheet,,None,0,20.71904761904762
I will do data science python jobs,,None,0,10.361904761904762
"I will setup data pipe line in between gcp, AWS, azure",Level 1 Seller,None,0,25.895238095238096
"I will do data engineering using python, sql and aws",,None,0,41.43333333333333
I will data mine for business strategy,,None,0,880.4
I will do your data warehouse design and etl and dashboards,,None,0,103.58095238095238
I will automate your data process with google sheets or python,Level 1 Seller,None,0,10.361904761904762
I will do extract transform load data with python,,None,0,103.58095238095238
I will make proper excel data base and create reports,,None,0,56.97142857142857
I will work on tsql ssis performance tuning and batch scheduling,,None,0,129.47142857142856
I will extract your company technical data transfrom and validate,,None,0,15.538095238095238
I will do mining engineer analysis,,None,0,621.4619047619047
I will assists you in machine learning with matlab,,None,0,46.60952380952381
"I will clean, split, merge or organize your databases with python or r",,None,0,20.71904761904762
I will fix migrate analyze predict your data,,None,0,20.71904761904762
"I will help in solutions with database,etl, visualizationand webscrapping",,None,0,10.361904761904762
I will do real estate design according to the property architecture,,None,0,51.79047619047619
I will analyze your data I am good at data science,,None,0,10.361904761904762
"I will build apache airflow etl pipelines, and schedule workflows",,None,0,10.361904761904762
I will do databricks etl task for you and create dashboards,,None,0,15.538095238095238
I will optimize your airtable base for reporting,,None,0,41.43333333333333
I will scrape any website with python,,None,0,51.79047619047619
"I will do data analysis, customize big data",,None,0,51.79047619047619
I will implement in matlab optimization methods for your research,Level 1 Seller,None,0,10.361904761904762
I will do accurate data entry,,None,0,5.180952380952381
I will do python web scraping script,,None,0,10.361904761904762
"I will do web scraping, and data mining from webpages",,None,0,5.180952380952381
"I will do python scripting, debug your script and data extraction",Level 1 Seller,None,0,51.79047619047619
I will do databricks etl task for you and create dashboards,,None,0,15.538095238095238
I will create a python bot that will scrape any website for you,,None,0,207.15714285714284
I will clean and pre process your data,,None,0,5.180952380952381
I will do targeted telegram bulk dm pm mass message marketing and promotion camp,,None,0,20.71904761904762
"I will build apache airflow etl pipelines, and schedule workflows",,None,0,10.361904761904762
I will do data exploratory analysis using python r language,,None,0,10.361904761904762
I will design the database architecture for your project,Clients,None,0,20.71904761904762
I will do any machine learning and deep learning project,,None,0,41.43333333333333
I will analyze your speech and audio data,,None,0,10.361904761904762
I will develop calculated excel sheets,,None,0,51.79047619047619
"I will develop data etl pipelines, analytics and reporting solutions",,5.0,2,51.79047619047619
"I will api data development, integration, extract, scraping hadoop talend",,None,0,51.79047619047619
"I will provide nitro pdf editor, adobe acrobat services",,None,0,10.361904761904762
I will do data engineering pipeline using google cloud platform,,5.0,1,15.538095238095238
"I will fetch instagram profile, followers, posts and likes",,None,0,10.361904761904762
"I will do data analysis, data visualization and machine learning",,None,0,10.361904761904762
I will write your python programs and script,Level 1 Seller,5.0,2,5.180952380952381
I will provide cloud solutions to you,,None,0,20.71904761904762
I will provide business intelligence consultant,,None,0,31.076190476190476
I will build your trading bot in python,,5.0,1,20.71904761904762
I will design database with the integration of web API,,5.0,3,5.180952380952381
I will do etl work for you using microsoft tools,,5.0,1,10.361904761904762
I will do apache spark projects,,5.0,2,20.71904761904762
"I will help you with python pandas tasks, numpy tasks and jupyter notebooks",Level 1 Seller,None,0,15.538095238095238
I will help with AWS migration and cloud data lake,,None,0,15.538095238095238
I will setup rivery to extract and transform data,,None,0,51.79047619047619
"I will develop and design your databases  oracle, ms access",,None,0,10.361904761904762
I will create an excel macro with vba interface,,None,0,20.71904761904762
I will provide americans attorney at law data,Level 1 Seller,None,0,310.73333333333335
I will work as data engineer,,None,0,10.361904761904762
"I will do python web scraping, writing automated scripts",,None,0,41.43333333333333
I will help you in quality control subject problems,,None,0,5.180952380952381
"I will treat your project as mine, for splendid service, try me",,None,0,20.71904761904762
I will do data pipelines  using matillion etl tool,,None,0,20.71904761904762
I will develop data analytics and data engineering based projects,,None,0,1035.7666666666667
I will write complex sql for big data analytics,,None,0,15.538095238095238
I will do etl process and  make data warehouse and visualization,,None,0,10.361904761904762
I will automate business tasks and web scraping,,None,0,31.076190476190476
I will do data integration etl job using talend,,None,0,5.180952380952381
I will automate google sheets with apps script or python,,None,0,5.180952380952381
I will circuit network theory expert,,None,0,5.180952380952381
I will do data cleaning data wrangling or data visualization in python,,None,0,5.180952380952381
I will develop data analytics and data engineering based projects,,None,0,1035.7666666666667
I will do data integration etl job using talend,,None,0,5.180952380952381
"I will do data cleaning, munging, transformation and visualization",,None,0,36.25238095238095
I will do r programming rstudio projects,,None,0,10.361904761904762
I will analyze clean transform add skews and modify your data,,None,0,20.71904761904762
I will boqs escalations takeoff quantity,,None,0,10.361904761904762
I will do your research on spss,,None,0,5.180952380952381
I will professional office reporting with excel and access,,None,0,310.73333333333335
I will help with spark and scala,,None,0,15.538095238095238
I will find the market data you need,,None,0,51.79047619047619
"I will do python scripts, data parsing, converting excel, CSV, json, txt",,None,0,51.79047619047619
I will migrate your data into snowflake,,5.0,1,103.58095238095238
I will install sql server 2019,,None,0,31.076190476190476
"I will do data science statistical and regression analysis, python",,None,0,10.361904761904762
I will design and develop big data solutions,,None,0,62.147619047619045
I will do sql and python for data analysis,,None,0,20.71904761904762
"I will help clean, transform, store and etl huge data using apache spark in databricks",,None,0,15.538095238095238
I will export your filemaker data properly to excel,,None,0,15.538095238095238
I will develop data pipelines for your business,Level 1 Seller,None,0,103.58095238095238
I will do data analysis with visualization,,None,0,5.180952380952381
I will make any type of road cross section takeoff quantity,,None,0,10.361904761904762
I will do assignments in industrial engineering fields,,None,0,15.538095238095238
I will create scalable etl big data pipelines with python on cloud,,5.0,11,41.43333333333333
I will teach you excel features and functions,,None,0,36.25238095238095
"I will do data engineer,big data,data warehouse,data mining,api integration,etl",,None,0,51.79047619047619
I will provide services of ssis,Level 1 Seller,None,0,41.43333333333333
I will provide quick and bulk skip tracing services,,None,0,10.361904761904762
I will extract and scrape data from any website for you,,None,0,20.71904761904762
I will do any task with pyspark or spark,,None,0,10.361904761904762
I will do excel automation and excel vba for fast data processing,Level 2 Seller,4.8,17,129.47142857142856
I will build and design end to end etl data pipeline using python,,None,0,31.076190476190476
I will do research oriented technical writing on data science,,4.7,1,5.180952380952381
I will be best at data analysis and data management,,None,0,20.71904761904762
I will help you with google cloud function gcp,Level 1 Seller,None,0,10.361904761904762
"I will do data engineering, analytics projects across technologies",,5.0,2,25.895238095238096
I will do big data with hadoop kafka spark pandas,,5.0,3,51.79047619047619
I will help setup and build dbt models for data transformation,,5.0,2,41.43333333333333
I will automate data pipelines using azure data factory,,None,0,41.43333333333333
I will deliver data testing services or consultancy,,None,0,41.43333333333333
I will connect your google analytics to bigquery,Level 1 Seller,None,0,10.361904761904762
I will help you with big query gcp postgresql queries,,None,0,46.60952380952381
I will write etl pipeline with airflow,,5.0,4,41.43333333333333
I will do missing data handling using python,,5.0,1,10.361904761904762
"I will do big data analysis with pyspark ,mlib, sql and kafka",,None,0,25.895238095238096
I will do 13600 google map pin point for gmb map ranking,,None,0,5.180952380952381
I will write sql queries for your business logics and analytics,,None,0,25.895238095238096
I will provide the services of presentation and video lectures,Level 1 Seller,5.0,1,10.361904761904762
"I will do load flow , short circuit analysis and design using etap",,5.0,3,5.180952380952381
"I will do web scraping, crawling using scrapy, bs4, selenium",,5.0,37,77.68571428571428
I will do web scraping and data mining from any website,Level 1 Seller,5.0,12,31.076190476190476
I will design pv solar system and do the  estimation and all the required design,,5.0,1,10.361904761904762
"I will work with spark,kafka and cassandra projects",,5.0,1,124.29523809523809
"I will do data extraction from PDF, scanned image to CSV, excel, db",,None,0,20.71904761904762
I will machine learning projects and thesis work,,5.0,1,103.58095238095238
I will scrape data clean and transform it from targeted website,,None,0,310.73333333333335
"I will do in excel any task, from formulas to full comm, even with new webprocesses 24h",,None,0,10.361904761904762
I will do data engineering sql dba etl ssis ssas ssrs dwh bi consultant,,None,0,207.15714285714284
"I will provide services in databases, data warehousing and data engineering pipelines",,None,0,10.361904761904762
I will solve your data problems using apache spark,,None,0,5.180952380952381
I will google cloud data engineer,,None,0,828.6142857142858
I will help you with alteryx,,None,0,31.076190476190476
I will do excellent quantity surveying schedules and repots,,None,0,5.180952380952381
I will do spark and data engineering pipeline related tasks,,None,0,10.361904761904762
"I will we do data engineering, visualization and data warehousing",,None,0,31.076190476190476
"I will do guest post, high da guest post guest post tech",,None,0,31.076190476190476
"I will do data processing, analytics, data entry and text analytics",,None,0,517.8857142857142
"I will perform data conversion, extraction using python, spark, airflow",,None,0,20.71904761904762
I will provide amazon dropshipping service for you,,None,0,10.361904761904762
I will help you with any kind of machine learning related project,,None,0,77.68571428571428
"I will do big data analytics in spark, scala and hive",,None,0,15.538095238095238
I will do scala and spark related tasks,,None,0,5.180952380952381
I will solve reports and assignments for all grades,,None,0,5.180952380952381
I will do data extration from websites into csv excel etc,Level 1 Seller,None,0,20.71904761904762
